Dex	Name	Type 1	Type 2
001	Bulbasaur	Grass	Poison
002	Ivysaur	Grass	Poison
003	Venusaur	Grass	Poison
003	Mega Venusaur	Grass	Poison
003	Gigantamax Venusaur	Grass	Poison
004	Charmander	Fire	
005	Charmeleon	Fire	
006	Charizard	Fire	Flying
006	Mega Charizard X	Fire	Dragon
006	Gigantamax Charizard	Fire	Flying
007	Squirtle	Water	
008	Wartortle	Water	
009	Blastoise	Water	
009	Mega Blastoise	Water	
009	Gigantamax Blastoise	Water	
010	Caterpie	Bug	
011	Metapod	Bug	
012	Butterfree	Bug	Flying
012	Butterfree	Bug	Flying
012	Gigantamax Butterfree	Bug	Flying
013	Weedle	Bug	Poison
014	Kakuna	Bug	Poison
015	Beedrill	Bug	Poison
015	Mega Beedrill	Bug	Poison
016	Pidgey	Normal	Flying
017	Pidgeotto	Normal	Flying
018	Pidgeot	Normal	Flying
018	Mega Pidgeot	Normal	Flying
019	Rattata	Normal	
019	Alolan Rattata	Dark	Normal
020	Raticate	Normal	
020	Raticate	Normal	
020	Alolan Raticate	Dark	Normal
021	Spearow	Normal	Flying
022	Fearow	Normal	Flying
023	Ekans	Poison	
024	Arbok	Poison	
025	Pikachu	Electric	
025	Pikachu Rock Star	Electric	
025	Pikachu Belle	Electric	
025	Pikachu Pop Star	Electric	
025	Pikachu Ph.D.	Electric	
025	Pikachu Libre	Electric	
025	Original Cap Pikachu	Electric	
025	Hoenn Cap Pikachu	Electric	
025	Sinnoh Cap Pikachu	Electric	
025	Unova Cap Pikachu	Electric	
025	Kalos Cap Pikachu	Electric	
025	Alola Cap Pikachu	Electric	
025	Partner Cap Pikachu	Electric	
025	Gigantamax Pikachu	Electric	
025	Partner Pikachu	Electric	
026	Raichu	Electric	
026	Raichu	Electric	
026	Alolan Raichu	Electric	Psychic
027	Sandshrew	Ground	
027	Alolan Sandshrew	Ice	Steel
028	Sandslash	Ground	
028	Alolan Sandslash	Ice	Steel
029	Nidoran♀️	Poison	
030	Nidorina	Poison	
031	Nidoqueen	Poison	Ground
032	Nidoran♂️	Poison	
033	Nidorino	Poison	
034	Nidoking	Poison	Ground
035	Clefairy	Fairy	
036	Clefable	Fairy	
037	Vulpix	Fire	
037	Alolan Vulpix	Ice	
038	Ninetales	Fire	
038	Alolan Ninetales	Ice	Fairy
039	Jigglypuff	Normal	Fairy
040	Wigglytuff	Normal	Fairy
041	Zubat	Poison	Flying
042	Golbat	Poison	Flying
043	Oddish	Grass	Poison
044	Gloom	Grass	Poison
044	Gloom	Grass	Poison
045	Vileplume	Grass	Poison
046	Paras	Bug	Grass
047	Parasect	Bug	Grass
048	Venonat	Bug	Poison
049	Venomoth	Bug	Poison
050	Diglett	Ground	
050	Alolan Diglett	Ground	Steel
051	Dugtrio	Ground	
051	Alolan Dugtrio	Ground	Steel
052	Meowth	Normal	
052	Alolan Meowth	Dark	
052	Galarian Meowth	Steel	
052	Gigantamax Meowth	Normal	
053	Persian	Normal	
053	Alolan Persian	Dark	
054	Psyduck	Water	
055	Golduck	Water	
056	Mankey	Fighting	
057	Primeape	Fighting	
058	Growlithe	Fire	
058	Hisuian Growlithe	Fire	Rock
059	Arcanine	Fire	
059	Hisuian Arcanine	Fire	Rock
060	Poliwag	Water	
061	Poliwhirl	Water	
062	Poliwrath	Water	Fighting
063	Abra	Psychic	
